"";"ABBREVIAT";"SPECIES_NR";"LETTERCODE";"RANG";"GRUPPE";"TaxonName";"STATUS_D";"N";"F";"T";"AR";"HEIMAT";"HÄUFIGK";"GEF2006";"FSKNR";"GLOB_RBD";"NAT_RBD";"UEREG_GEF";"RELEVANZ";"UEREG_BED";"HANDLUNG";"GEF1991";"RL_BALT";"RLD";"FFH_Anh";"BARTSCH";"TAX_Ind";"TAX_Bew";"RLPGMV";"FFH1";"FFH2";"FFH3";"FFH4";"FFH_FSP_1";"FFH_FSP_2";"BIOTOP";"BioNr";"BioCode";"BioName";"Para20";"StandCode";"BioTyp1";"BioTyp2";"BioTyp3";"HLRT_WM";"Massn_1";"Massn_2";"Massn_3";"Instrument"
"1";"Abies alba";1;"ABISALB";"SPE";"S";"Abies alba";"";"4a";4;3;"D";"";"z";"k. A.";NA;"";"";"";"";NA;"";"";"";3;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Abies grandis";10001;"ABISGRA";"SPE";"S";"Abies grandis";"";"4a";4;3;"";"N-AM";"z";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Abutilon theophrasti";2;"ABTLTHE";"SPE";"S";"Abutilon theophrasti";"I";"4a";3;3;"";"SO-EUR, AS";"z adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acer campestre";6;"ACERCAM";"SPE";"S";"Acer campestre";"I";"1";1;1;"N x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acer negundo";8;"ACERNEG";"SPE";"S";"Acer negundo";"I";"4a";4;3;"";"N-AM";"z <";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Acer platanoides";14;"ACERPLA";"SPE";"S";"Acer platanoides";"I";"1";1;1;"x";"";"z <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Acer pseudoplatanus";15;"ACERPSE";"SPE";"S";"Acer pseudoplatanus";"I";"1";1;1;"x";"";"v <<";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Achillea collina";29;"ACHLCOL";"SPE";"S";"Achillea collina";"I";"2";2;3;"NW x";"";"ss";"0";NA;"";"";"";"";NA;"";"D";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Achillea crithmifolia";22;"ACHLCRI";"SPE";"S";"Achillea crithmifolia";"";"4b";3;3;"";"SO-EUR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Achillea millefolium";31;"ACHLMIL";"SPE";"S";"Achillea millefolium";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Achillea pannonica";34;"ACHLPAN";"SPE";"S";"Achillea pannonica";"I";"4a";3;3;"";"östl. M- und SO-EUR (kontinentale Verbreitung, Odergebiet bis Gartz/Br)";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Achillea ptarmica";44;"ACHLPTA";"SPE";"S";"Achillea ptarmica";"I";"1";1;1;"x";"";"z >";"3";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Achillea roseoalba";35;"ACHLROS";"SPE";"S";"Achillea roseoalba";"";"4b";3;3;"D";"";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Acinos arvensis";49;"ACNSARV";"SPE";"S";"Acinos arvensis";"I";"2";3;2;"x";"";"z >, fr v";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Acorus calamus";69;"ACRSCAL";"SPE";"S";"Acorus calamus";"N";"2";4;3;"x";"AS, N-AM x";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Actaea spicata";70;"ACTASPI";"SPE";"S";"Actaea spicata";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Adonis aestivalis";76;"ADNEAES";"SPE";"S";"Adonis aestivalis";"A";"3";3;2;"N Vp";"";"fr s";"0";NA;"";"";"!";"";NA;"";"1";"3";3;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Adonis annua";77;"ADNEANN";"SPE";"S";"Adonis annua";"";"4b";4;3;"";"S-EUR";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Adonis flammea";78;"ADNEFLA";"SPE";"S";"Adonis flammea";"I";"4b";3;3;"";"Marokko, Iberische Halbinsel über S- und M-EUR bis Kaukasus";"ss adventiv";"k. A.";NA;"";"";"!!";"";NA;"";"";"";1;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Adoxa moschatellina";81;"ADOXMOS";"SPE";"S";"Adoxa moschatellina";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Aegilops cylindrica";82;"AGLPCYL";"SPE";"S";"Aegilops cylindrica";"";"4b";3;3;"";"östl. Mittelmeergebiet bis Mittel-AS";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
