TaxonUsageID;TaxonName;NameAuthor;SYNONYM;TaxonConceptID;TaxonConcept;VernacularName;TaxonRank;GRUPPE;IsChildTaxonOfID;IsChildTaxonOf;NACHWEIS;AccordingTo;HYBRID;BEGRUEND;EDITSTATUS;EuroMed
0;Planta;;0;0;Planta;Pflanze;ROOT;S;0;Planta;GermanSL;"APG IV";0;;"APG IV";
1;"Abies alba";Mill.;0;1;"Abies alba";"Weiß-Tanne";SPE;S;60596;Abies;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";6a8e85bd-5e52-4ae2-9444-99128c87a672
2;"Abutilon theophrasti";Medik.;0;2;"Abutilon theophrasti";"Chinesische Samtpappel";SPE;S;61062;Abutilon;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";008bc70d-6e25-44ea-aae3-7e51258678bf
6;"Acer campestre";L.;0;6;"Acer campestre";Feld-Ahorn;SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";960ff0e5-e8f8-4b8b-952e-974bf6b48cc2
7;"Acer monspessulanum";L.;0;7;"Acer monspessulanum";"Französischer Ahorn";SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";12709da0-5ac8-4275-9a03-0598459cb132
8;"Acer negundo";L.;0;8;"Acer negundo";Eschen-Ahorn;SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";fcc48b38-1691-4e2d-9489-22930ffcb24e
9;"Acer opalus agg.";Mill.;0;9;"Acer opalus agg.";"";AGG;S;60602;Acer;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
13;"Acer opalus";Mill.;0;13;"Acer opalus";"Schneeballblättriger Ahorn";SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";4a75b5cd-2c06-4ad5-a17a-f8b1c536e153
14;"Acer platanoides";L.;0;14;"Acer platanoides";Spitz-Ahorn;SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a3f8eb43-4a2c-469e-9e5a-9821d6e4226b
15;"Acer pseudoplatanus";L.;0;15;"Acer pseudoplatanus";Berg-Ahorn;SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";4fd5b4a0-288f-4ff5-b4ed-ab32d5271bdb
16;"Acer tataricum";L.;0;16;"Acer tataricum";"";SPE;S;60602;Acer;"";EuroMed2019;0;;Ergaenzung;9d434fb2-c669-484d-a2aa-6a718e848679
17;"Aceras anthropophorum";"(L.) R. Br.";1;32133;"Orchis anthropophora";Ohnsporn;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";bcf65820-8f55-4d79-b2d4-2fd41e152ede
18;"Achillea atrata agg.";"";0;18;"Achillea atrata agg.";"";AGG;S;60728;Achillea;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
19;"Achillea atrata";L.;0;19;"Achillea atrata";"Schwarzrandige Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c14e1694-58a0-435e-b62e-031a5ab71bb2
21;"Achillea clavenae";L.;0;21;"Achillea clavenae";"Bittere Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
22;"Achillea crithmifolia";"Waldst. & Kit.";0;22;"Achillea crithmifolia";"Meerfenchelblättrige Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a10a2c86-9bd4-4ba4-a2ac-7992778c41b9
26;"Achillea macrophylla";L.;0;26;"Achillea macrophylla";"Großblättrige Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c0647628-98f5-4987-8b9a-bc6d3a3034f7
27;"Achillea millefolium agg.";"";0;27;"Achillea millefolium agg.";"Artengruppe Wiesen-Schafgarbe";AGG;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
29;"Achillea collina";"(Becker ex Wirtg.) Heimerl";0;29;"Achillea collina";"Hügel-Wiesenschafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";f0eac0d9-475b-4ceb-91db-b598bdec54c6
31;"Achillea millefolium";L.;0;31;"Achillea millefolium";"Gewöhnliche Wiesen-Schafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";041a498c-34cb-439b-8baa-cc99d20cf4ca
32;"Achillea millefolium subsp. millefolium";"";0;32;"Achillea millefolium subsp. millefolium";"Gewöhnliche Wiesen-Schafgarbe i.e.S.";SSP;S;31;"Achillea millefolium";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a904fffb-8e8e-4b3a-9ea6-84419bd80152
33;"Achillea millefolium subsp. sudetica";"(Opiz) Oborny";0;33;"Achillea millefolium subsp. sudetica";Sudeten-Wiesenschafgarbe;SSP;S;31;"Achillea millefolium";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";cf1fd385-98e6-4083-8c58-9eb4add7cc5b
34;"Achillea pannonica";Scheele;0;34;"Achillea pannonica";"Ungarische Wiesen-Schafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8f3bbd5f-48fe-4426-814f-65380eabf5db
35;"Achillea roseoalba";Ehrend.;0;35;"Achillea roseoalba";"Blaßrote Wiesen-Schafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";55b8a75f-4e27-4b1f-a53f-1dc5010a49fd
36;"Achillea setacea";"Waldst. & Kit.";0;36;"Achillea setacea";"Feinblättrige Wiesen-Schafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";14b1d668-b57a-45a3-8591-ee04fd77fe47
39;"Achillea nobilis";L.;0;39;"Achillea nobilis";"Edle Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8d443b03-07a4-4a85-b950-5c3df3e477b4
42;"Achillea ptarmica agg.";"";0;42;"Achillea ptarmica agg.";"Artengruppe Sumpf-Schafgarbe";AGG;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
43;"Achillea cartilaginea";"Ledeb. ex Rchb.";1;27369;"Achillea salicifolia";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
